Start String,Generated New Vocab,Attempts
n,nebil,0
nell,nella,0
ne,nensis,0
ne,nensis,0
v,vicla,2
vega,vegae,16
v,vinus,0
ve,ve,1
veg,vegi,0
veg,vegi,0
vegas,,nan
veg,vegi,0
vega,vegalia,18
vegas,vegasi,3
pugi,pugina,0
pugilis,,nan
pug,pugensis,0
pugilis,,nan
pug,puga,0
pu,pulus,2
pugi,pugina,0
p,pogu,1
pugilis,,nan
pu,pulus,1
ku,kupura,0
kugitangi,kugitangi,0
k,kis,0
kug,kugi,0
kugitangic,kugitangicus,1
kugitangica,,nan
kugitan,kugitanicus,0
kugit,kugita,0
kugita,kugita,0
kugitang,kugitang,0
se,sensis,1
semili,semili,0
semilimba,semilimba,0
sem,semontai,0
semil,semilloides,0
semilimbat,semilimbat,0
semi,seminae,0
semilimb,semilimbriana,0
semilim,semilim,0
s,sanva,0
mura,murai,6
mur,muri,0
muralico,,nan
muralicol,,nan
muralic,muralica,0
m,meae,2
murali,murali,3
mu,mure,1
mural,murali,0
muralicola,,nan
sche,schevi,0
schen,schensis,0
schen,schensis,0
schenke,schenkei,0
schenke,schenkeini,0
schenke,schenkei,0
schen,schensis,0
sche,schevskae,0
schenkel,schenkelli,0
s,s,0
pseudovagans,,nan
pseud,pseuderi,0
pseudova,pseudovae,0
pseudovag,pseudovagerae,0
pseudov,pseudovi,0
pseudovaga,pseudovaga,0
pseudovagan,pseudovagana,0
pseu,pseus,0
pse,pse,0
ps,pskyane,0
a,as,0
aos,aoshanensis,0
ao,ao,0
aosen,aosensis,0
a,ariensis,0
aos,aos,0
aosen,aosensis,0
aos,aos,0
aos,aos,0
aosen,aosensis,0
tigr,tigregho,0
tig,tiger,0
tigr,tigri,1
tig,tiger,1
tigre,,nan
tig,tigulum,0
ti,tia,0
ti,tidus,0
tig,tigus,0
tigre,tigrensis,6
mene,menes,0
menemer,menemeri,0
menemere,menemerei,0
meneme,menemeri,0
men,mensis,0
menemerella,,nan
menemerel,menemereli,0
menemerell,menemerell,0
me,meria,0
menem,menemi,0
athl,athliei,0
athleticu,athleticum,2
ath,athae,0
athletic,athletica,0
at,atela,2
a,ae,1
athle,athle,0
athleticus,,nan
athlet,athleti,1
athleti,athleti,0
apot,apotensis,0
apotheti,apotheti,0
a,ar,0
apoth,apothorum,0
apothetic,apotheticola,9
apothetica,,nan
apothet,apothet,0
apothe,apothes,0
ap,apangu,0
apo,apongani,4
niphoco,niphocoides,0
niphocosm,niphocosma,0
niphocosmum,,nan
niphoc,niphoca,0
niphocos,niphocos,0
nipho,niphora,0
niphocosmu,niphocosmus,2
n,naka,0
nip,nipsa,0
ni,nis,0
zabalet,zabaletae,0
zabalet,zabaletha,0
z,zonicus,0
zaba,zaban,0
zabaleta,zabaletanae,0
zabalet,zabalethei,0
zabale,zabalensis,0
zabal,zabal,0
zabaleta,zabaletae,0
zabalet,zabalethensis,0
bra,bradis,0
br,brskyi,0
branta,brantan,0
br,broki,0
br,brinii,0
b,burnerum,0
bra,brathromelae,0
bra,bratus,0
branta,brantae,0
bra,bradi,0
fu,fus,0
furcu,furcus,0
furculo,furculosa,0
f,fi,0
furculos,furculosa,1
furculosu,furculosum,1
furc,furci,0
furcul,furculus,4
furculosus,,nan
fur,furu,6
yas,yas,0
yasu,yasuensis,0
yas,yas,0
yasudai,,nan
yas,yas,0
yas,yashinai,0
yasud,yasudensis,0
yasu,yasu,0
ya,ya,0
yasudai,,nan
t,tiensis,0
tinalandi,tinalandi,0
tinal,tinalis,0
tinala,tinala,0
tinaland,tinalande,0
tinalandia,,nan
tina,,nan
ti,tians,1
tinalan,tinalana,0
tin,tingie,0
plan,planae,0
pla,pla,0
planu,,nan
plan,plani,0
planu,,nan
pla,pla,0
pl,plestensis,0
planus,,nan
planus,,nan
plan,planae,1
fl,fleri,0
flavifr,flavifrywskii,0
flavi,flavis,1
flav,flavi,0
flavifron,,nan
fla,fla,0
flavifrons,,nan
flavif,flavifera,0
f,ffica,0
flavifro,flavifror,6
r,riforum,0
rio,rioides,2
ri,ri,0
rio,rioides,0
ri,ria,0
rio,rioides,1
ri,ri,0
ri,ri,0
rio,riola,1
ri,ris,0
robertoi,,nan
rober,roberdi,0
robe,robero,0
roberto,robertoni,0
robe,robevi,0
r,roni,0
robertoi,,nan
ro,ro,0
ro,ro,0
robert,,nan
la,las,0
laura,laurai,1
laura,,nan
laura,laurai,2
lau,laut,0
laura,laurai,11
l,landiensis,0
l,licae,0
laur,laurei,0
laur,lauri,0
fur,furu,1
fu,funa,0
furcatella,,nan
furca,furcae,15
furcate,furcate,0
furcatel,furcatellum,0
f,feng,0
furcatell,furcatellus,0
furc,furci,1
furcat,furcatrosa,1
rem,remi,0
reme,remei,0
remed,remedi,0
remed,remedi,0
remediu,remediu,0
remedi,remedi,0
remedius,,nan
re,rensis,0
re,rensis,0
remedi,remedi,0
m,ma,0
mit,mitae,6
mitific,mitificum,5
mitific,,nan
mitifi,mitifi,1
mitifica,,nan
mi,milis,0
mit,mitae,1
mitif,mitiformis,0
mitifi,mitifir,9
a,anthemata,0
armatissimu,armatissimum,0
armatiss,armatissa,1
ar,are,0
armatissimus,,nan
arma,armae,0
armatis,armatis,0
armati,armatisvira,0
armat,armat,0
armatissim,armatissimum,5
uzag,uzaguensis,0
uzaga,uzagai,16
uza,uzai,0
uza,uzai,0
uzaga,,nan
uza,uzai,0
uzaga,,nan
uzaga,uzagari,3
uz,uza,0
u,uda,0
bi,bi,0
bic,bicus,0
b,bawaensis,0
bicurvata,,nan
bicurvata,,nan
bicur,bicuralis,0
bicu,bicus,0
bicur,bicura,0
bicu,bicus,0
bicur,bicura,0
signiventr,signiventrii,15
signiv,signiva,0
sig,siges,0
signivent,signiventer,0
signi,signita,0
s,suta,1
signiventris,,nan
sign,signensis,1
si,,nan
signiven,signivensis,0
demerara,demerara,0
demer,demeri,0
demerarae,,nan
deme,demeri,0
demerara,demerara,0
dem,demanni,0
demer,demeri,0
demerara,demerara,0
demerar,demeraria,0
d,dalensis,0
shuquiang,shuquiang,0
s,schii,0
shuquian,shuquian,0
shu,shung,0
shuqui,shuqui,0
shuquiangli,shuquiangli,0
shuquia,shuquia,0
shuqu,shuqui,0
shuquiangl,shuquianglia,0
sh,shi,0
warden,wardensis,1
warden,wardensis,0
w,witzi,0
wardeni,wardenie,4
wardeni,wardenia,1
wardeni,wardenie,16
w,wesi,0
war,wari,0
warden,wardensis,0
wardeni,wardenie,3
i,i,0
isla,islavi,0
islamita,islamitae,0
islami,islamir,0
is,is,0
islami,islamia,0
isla,islae,0
isl,isli,0
islam,islam,0
islam,islama,0
puc,pucensis,0
pucu,pucu,0
p,pii,1
pucuna,,nan
pucuna,,nan
p,petberni,0
pucun,pucun,0
puc,pucensis,0
puc,pucensis,0
pu,pulus,0
misch,misch,3
mis,mishanensis,0
mi,mia,1
m,marginatum,0
misch,mische,1
misch,misch,1
mis,misha,0
mis,misha,0
misc,misca,0
m,ma,0
semicastaneus,,nan
semicastane,semicastanes,0
semic,semicola,0
sem,semi,0
semicas,semicas,0
semicastaneu,,nan
s,schianus,0
semica,semica,0
semi,semini,0
semicastan,semicastans,0
ar,are,0
ara,ara,0
ara,arae,0
arawak,arawaka,2
ar,are,0
arawakan,arawakana,5
araw,araw,3
arawa,arawan,0
arawak,arawaka,1
a,ae,0
heizerensi,,nan
h,hardia,1
heizerensis,,nan
he,hensis,0
heiz,heizi,0
hei,hei,0
heizere,heizeret,0
heize,heizei,0
heizerens,,nan
heizer,heizeri,0
orph,orphi,0
orpheu,,nan
orp,orphyi,0
orphe,orphensis,0
or,oricola,0
o,ocephalus,0
orp,orpi,0
orph,orphi,0
orph,orphi,0
orp,orp,0
hamaens,,nan
hamaen,hamaense,3
hama,hamari,0
hamaen,hamaense,5
ham,ham,0
hamaens,,nan
hamaen,hamaense,3
ham,hami,0
h,hatica,0
hamae,hamae,0
pi,pi,0
pi,pi,0
pictipe,pictipeds,10
pictipes,,nan
picti,picti,0
pictipe,pictipem,8
pictipes,,nan
pict,picts,4
pictip,,nan
p,pidos,0
torsivoide,,nan
t,toni,0
torsivoid,torsivoidas,2
torsi,torsis,0
torsivo,torsivorum,0
tor,torum,0
torsivoi,torsivoi,0
tors,torsi,0
torsivoides,,nan
torsiv,torsiver,0
nicolas,nicolas,0
nicolas,nicolas,0
n,nis,1
nicol,nicola,0
nic,nic,0
nic,nic,0
nicola,nicola,0
nico,nicola,0
nicolasi,nicolasi,1
nico,nicola,0
auctif,auctiformis,0
auctificus,,nan
au,auli,0
a,a,0
auctifi,auctifidum,5
auctificu,auctificum,15
aucti,aucti,0
auc,auchi,0
auct,aucti,0
auctific,auctifica,10
m,ma,0
melliss,mellissima,1
mellissi,mellissimus,0
mellissi,mellissima,0
mellissi,mellissima,0
mellis,mellis,0
me,mea,0
mell,melli,0
melli,melli,0
mellis,mellisi,0
garrafensis,,nan
garra,garra,0
garrafen,garrafeni,2
ga,gash,0
garr,garrei,0
g,goensis,0
garraf,garrafae,0
garrafe,garrafe,0
gar,gari,0
garrafensi,,nan
okor,okorum,0
okoros,okoros,0
okorosav,okorosavensis,0
oko,oko,0
okorosav,okorosavi,1
okorosav,okorosava,0
okorosa,okorosani,0
okorosa,okorosanensis,0
okoro,okoro,0
ok,oka,0
anom,anoma,0
anomid,anomidi,0
an,antrapetae,0
anomi,anomi,0
anom,anoma,0
an,ang,0
anom,anomae,0
ano,anoverdense,0
anomid,anomidensis,0
ano,ano,0
c,cho,2
cress,cressi,1
cressa,cressae,3
cr,crinate,0
cres,cres,0
c,chilliensis,0
cress,cressae,13
cress,cressata,3
cress,cressi,1
cr,crii,0
sin,sina,0
s,sangensis,0
si,,nan
sino,sinor,0
si,,nan
sino,sinoi,0
sino,sino,0
sinop,sinopola,0
si,siria,10
sin,sini,0
trico,tricola,0
tricol,tricola,0
t,tipus,0
tricoloripes,,nan
tricoloripe,,nan
tricolorip,tricoloripens,2
tr,troi,0
tricolori,tricolorima,0
tricolor,tricolora,0
tri,trixns,0
rufi,rufis,0
ru,rus,0
r,rense,1
rufisque,rufisquevex,1
ru,rus,0
rufi,rufissaria,0
ruf,ruforum,0
ru,rus,0
rufisque,rufisquensis,0
ruf,rufer,2
scapulat,scapulata,0
scapula,,nan
scapul,scapulensis,0
sc,schanicus,0
scapulatus,,nan
scap,scapella,0
sca,sca,0
s,shun,1
scapu,scapus,0
scapulatu,scapulatum,8
matura,matura,0
m,marga,1
maturata,,nan
ma,mali,1
ma,ma,0
matur,matura,0
matur,matur,0
matur,matura,0
matur,matur,0
matu,matus,0
cor,corum,0
cornifr,,nan
corn,corni,2
cornifrons,,nan
cornifron,,nan
cornif,cornifera,0
co,co,0
c,cho,0
corni,,nan
cornifro,cornifroms,3
mon,mon,0
monacan,monacana,0
monacanthu,monacanthus,7
monacanth,monacanthe,0
monac,monacensis,0
mo,monoi,0
mona,,nan
monacanthum,,nan
monacant,monacantha,0
m,mile,0
c,charoi,0
cyanog,cyanogas,0
cyanognathus,,nan
cyanognat,,nan
cyan,cyanensis,0
cy,cyanus,0
cyanognath,,nan
cyano,cyanoa,0
cyanogna,cyanognapha,11
cyanogn,,nan
min,mingo,0
minus,minus,0
m,ma,1
mi,miana,2
minusculu,,nan
minuscu,minuscus,0
minuscul,minusculatus,16
minusculus,,nan
minusc,minusca,0
minu,minus,0
ariadnae,ariadnaehensis,14
ariadn,ariadni,1
aria,aria,0
ar,are,0
ariadna,,nan
ariadnae,,nan
ariad,ariad,0
ariadn,ariadnsis,2
ari,aria,0
a,a,0
qua,qua,0
quadrivulv,quadrivulvani,0
quadr,quadra,0
quadrivulvat,quadrivulvat,1
quadrivulva,quadrivulvachevi,0
qu,quensis,0
quadrivu,quadrivus,0
quad,quadi,0
quadrivulvata,quadrivulvatae,0
quadrivul,quadrivulva,0
vi,vi,0
vis,,nan
v,valdei,0
vi,viata,0
vi,vii,0
vi,via,0
visit,visitatum,0
visite,visitera,0
visi,visii,0
v,vialiensis,0
d,dia,0
dag,dagkaae,0
dagostin,dagostina,0
dagosti,dagosti,0
da,daensis,0
dago,dago,0
dagostinae,,nan
dagost,dagostoma,0
dagostina,dagostina,0
dagos,dagos,0
cultri,cultrix,0
cultridens,cultridensis,0
cultride,cultrides,0
cultr,cultra,0
cul,cula,0
c,chellei,2
cult,cultris,0
cultrid,cultrida,0
cu,cu,0
cultriden,cultridensis,0
zeb,zebi,0
zebrin,zebrinoi,18
zebrina,,nan
z,zan,0
zebrina,zebrinae,3
zebrina,zebrinae,10
zebrina,zebrinae,0
zebrin,zebrinae,2
zeb,zebi,0
zebrina,,nan
fai,fai,0
faisalabadens,,nan
f,formis,0
faisalabadensi,,nan
faisal,faisalis,0
faisalabade,faisalabadense,14
faisalabad,faisalabadi,0
faisalabaden,,nan
faisa,faisarevi,0
fa,fa,0
curv,curvum,5
curvilinea,curvilinea,0
curvil,curvili,0
curvili,curvili,0
curvilineatu,,nan
curvilineatus,,nan
curviline,curvilines,0
cur,cura,0
curvi,curvida,0
cu,cuhui,0
phaeo,phaeoides,0
phae,phae,0
phaeoch,phaeochelis,0
ph,phalensis,0
p,pator,0
phaeoc,phaeochea,0
phaeochor,phaeochora,0
phaeocho,phaeochorum,0
pha,phari,0
phaeochorda,,nan
crassi,crassis,0
crassibulb,crassibulbi,0
c,chio,0
crassibul,crassibulbi,0
crassibu,crassibum,0
cra,cra,0
cras,cras,0
crassib,crassiba,0
crass,crass,1
crassibulba,,nan
longicymbiali,,nan
longi,longi,0
l,landita,0
longic,longica,0
longicymbia,,nan
longicymbial,,nan
lon,long,0
lo,loni,0
longicym,longicym,0
long,long,0
orin,orin,1
o,onnellus,0
orine,orinensis,0
ori,oriana,0
orin,orini,1
orin,orin,3
o,odes,0
o,oni,0
orine,orine,0
orines,,nan
nig,nigur,1
nigricu,nigriculata,1
nigricula,,nan
nigr,nigri,1
ni,ni,0
nigric,nigrica,1
nigric,nigricia,0
nigricula,,nan
nigr,nigrada,5
nigricul,,nan
cor,corum,0
co,co,0
corticeus,,nan
cortic,corticus,0
corticeu,corticeum,10
corticeus,,nan
c,chelicea,0
c,chong,0
corti,corti,0
corticeus,,nan
dod,dodi,0
dod,dodensis,0
do,do,0
dod,dodi,0
dodo,dodovata,0
do,do,0
do,do,0
d,descatus,0
d,desensis,0
dodo,dodovis,0
sidel,sidelli,2
sidella,sidellatus,5
sid,sidji,0
s,s,1
sidel,sidelsa,2
sidella,sidellata,7
sidell,sidelli,0
side,sides,0
sidell,sidelli,0
s,shan,0
l,lat,0
lasal,lasalensis,0
lasalana,,nan
la,las,2
l,landica,0
la,lae,5
las,lasmanae,0
lasalan,lasalang,8
las,lasvitiana,0
lasalana,,nan
flab,flabiri,0
flabellatu,,nan
fl,flei,0
f,formis,0
flabellatus,,nan
flabell,,nan
flabellat,,nan
flabella,flabellae,11
flabel,flabeli,0
fla,flani,0
anjozor,anjozorum,0
anjozoro,anjozoroi,0
anjoz,anjoza,0
anjozorobe,anjozorobensis,2
anjo,anjoe,3
a,a,1
anjozorob,anjozoroba,0
anj,anjam,0
an,ans,0
anjozo,anjozo,0
evan,evanus,0
evans,evans,0
ev,evi,0
evansi,evansikumi,12
ev,evi,0
evan,evana,0
eva,eva,1
ev,evi,0
e,es,0
evan,evanus,0
dean,deanae,0
de,derae,0
de,dens,0
deang,deang,0
deang,deangensis,0
d,des,0
dean,deanae,0
deangia,deangiae,0
dea,deae,3
dea,deae,7
seve,seve,0
sevegn,sevegneti,0
sevegnaniae,,nan
se,sensis,1
sevegna,sevegnae,0
s,sonensis,0
sevegnan,sevegnana,0
sev,sevi,0
sevegnania,sevegnania,0
seveg,sevegnatha,0
rubripl,rubripla,0
rubriple,rubripleus,0
r,randae,0
rubrip,rubripens,0
ru,rus,0
rub,rubensis,1
rubri,rubris,0
rubripleur,rubripleuru,4
rubr,rubris,0
rubripleura,,nan
watari,wataris,1
w,wesleyae,0
wa,,nan
wat,wat,0
watari,wataris,0
watarii,,nan
watar,watarsi,3
watarii,,nan
watarii,,nan
watarii,,nan
p,patus,1
pseudoferrugine,pseudoferrugineus,0
pseu,pseus,0
pse,pse,0
pseudofe,pseudofemoratus,0
pseudoferrugin,pseudoferrugina,0
pseudoferrugi,pseudoferrugina,0
pseudoferrug,pseudoferrugum,0
pseudo,pseudorum,0
pseudof,pseudofusulus,0
vainuia,vainuiae,7
va,va,0
vainuia,vainuiai,5
vainui,vainui,0
vainu,vainus,0
v,villatoris,0
vainuia,vainuiae,2
va,va,0
va,va,0
vainuia,vainuiae,8
alpi,alpis,0
alpig,alpiga,0
al,alaensis,0
alpigen,alpigensis,0
alpigenoi,,nan
alpige,alpigerum,0
alpigeno,alpigeno,0
a,a,0
alp,alpa,0
alpigenoides,,nan
rastru,rastrus,0
r,rix,0
rast,rasta,0
ras,rasensis,0
rastrum,,nan
rastrum,,nan
rast,rasta,0
r,ricki,0
ra,ra,0
rast,rasta,0
paucisp,paucispans,0
pauc,pauchii,0
pauci,paucis,0
p,purnus,0
paucispina,,nan
pau,paul,2
pa,pas,0
paucispi,paucispinum,0
paucis,paucissa,0
paucispin,paucispinus,1
hip,hipus,0
hip,hipus,0
hip,hipus,0
hippi,hippi,0
hippie,hippiensis,0
hippi,hippi,0
hipp,hippi,0
h,homae,0
h,hamma,0
