Start String,Matched Vocab,Attempts
gu,gus,2
g,guttatus,6
gua,,nan
guangx,guangxi,1
guangxi,guangxi,1
guangxicus,guangxicus,1
guan,guan,4
guang,guanga,17
s,spinosum,8
sa,sana,3
sara,,nan
sarahcrewsae,sarahcrewsae,1
sarahc,,nan
sarahcrew,,nan
sarahcr,,nan
sarahcrews,,nan
sarahcre,,nan
sar,,nan
cuneatu,cuneatus,1
cun,,nan
cun,,nan
cu,,nan
cunea,,nan
c,chico,4
cunea,,nan
cune,,nan
cune,,nan
cuneatus,cuneatus,1
coottha,coottha,1
coott,,nan
coo,cooma,12
co,cona,3
c,,nan
cootth,coottha,6
cootth,coottha,2
coo,,nan
coott,,nan
cootth,coottha,2
blanc,blanci,4
bl,,nan
bl,,nan
blanc,blanco,1
bla,blasi,13
bla,,nan
bla,,nan
blanco,blanco,9
b,bergi,7
b,bergi,5
valqu,,nan
va,,nan
valquiri,,nan
valq,,nan
valquir,,nan
valqu,,nan
val,vali,2
valquiri,,nan
va,,nan
v,,nan
lacte,lactea,3
lac,,nan
lact,lacta,4
lac,,nan
la,la,1
lacteus,lacteus,1
lacteus,lacteus,1
lacteus,lacteus,1
lacte,lacteus,6
l,linea,6
consuelo,consuelo,2
consue,,nan
con,cona,12
c,cha,3
consuel,,nan
consuelo,consuelo,1
consuelo,consuelo,2
co,coca,9
cons,,nan
con,cona,3
schubo,,nan
sc,,nan
schub,,nan
schubotzi,schubotzi,1
sch,,nan
sc,,nan
sc,,nan
schubotzi,schubotzi,1
schubo,,nan
sc,,nan
dep,depressa,14
depunct,,nan
depunc,,nan
d,dao,3
de,,nan
depunct,,nan
de,dea,12
dep,depressum,14
de,,nan
depunct,depuncta,8
yacuiens,yacuiensis,2
yacuiensis,yacuiensis,1
yacuien,yacuiensis,1
yacuiensi,yacuiensis,1
y,yi,1
yacuie,yacuiensis,1
yacui,yacui,1
ya,,nan
yacu,,nan
yac,,nan
kopo,,nan
koponeni,koponeni,1
kopon,,nan
kopone,,nan
kopon,,nan
kopon,,nan
kopo,,nan
kop,,nan
kopone,,nan
k,kali,12
per,,nan
per,peri,17
pe,,nan
p,punctata,2
perc,,nan
pe,,nan
pe,,nan
percy,,nan
perc,,nan
per,perus,14
dunstani,dunstani,1
dunstani,dunstani,3
dunsta,dunstani,4
dun,,nan
dunstani,dunstani,3
dun,,nan
dunst,,nan
dun,,nan
d,dongi,6
dun,,nan
fuscoma,,nan
fusco,fuscovittata,4
fuscomaculatum,fuscomaculatum,1
fuscomacul,,nan
fuscom,,nan
fuscomaculatu,,nan
fuscomac,fuscomaculatum,9
fuscomacu,fuscomaculatum,10
fuscomacula,fuscomaculatum,14
fuscomaculat,,nan
st,stani,3
str,,nan
strab,,nan
stra,,nan
stra,,nan
s,striatipes,1
strab,,nan
straba,straba,1
strab,straba,5
str,strix,1
palik,,nan
palikea,palikea,6
palikea,palikea,3
p,polita,5
pal,pala,4
pa,pala,14
pal,pala,2
pa,pana,7
palike,,nan
pal,pala,9
xiq,,nan
xiquanens,xiquanensis,1
xiqua,,nan
xiqu,,nan
xi,,nan
xiquane,xiquanensis,2
xiquanen,xiquanensis,1
xiquanensis,xiquanensis,1
x,xianensis,8
xiquanensi,xiquanensis,1
zang,,nan
zanghe,,nan
zan,,nan
zan,,nan
zan,,nan
zang,,nan
zangherii,zangherii,1
zang,,nan
zang,,nan
zang,,nan
trima,,nan
trim,,nan
tr,trux,16
tri,,nan
tri,,nan
t,tanga,8
t,tuna,12
trima,,nan
tr,,nan
t,tensa,20
coe,,nan
c,chinensis,8
c,chico,4
coen,,nan
c,cha,10
coeno,,nan
coe,,nan
coeno,,nan
coenosa,coenosa,1
coeno,,nan
simoni,simoni,1
si,si,1
simonis,simonis,1
simonis,simonis,1
simoni,simoni,1
simoni,simoni,1
simo,,nan
simon,simoni,6
si,si,1
sim,sima,1
b,bulbus,2
bimucronatu,bimucronatus,1
bimucronatus,bimucronatus,1
bi,,nan
bimucr,,nan
bimu,,nan
bimucrona,,nan
bimucron,,nan
bimuc,,nan
bimucro,,nan
de,,nan
dem,,nan
demersa,demersa,6
demersa,demersa,11
demer,,nan
dem,,nan
d,dentatus,7
dem,,nan
deme,,nan
de,,nan
altim,altima,1
alt,alta,6
altimontan,altimontanus,1
altimo,,nan
altimon,altimontanus,2
altimont,altimontanus,1
al,ala,3
altimontanu,altimontanus,1
altimonta,altimontana,1
a,ana,3
ha,,nan
haplotar,haplotarsa,3
h,hackmani,1
haplota,,nan
haplotars,haplotarsa,15
haplo,haplotarsa,9
haplot,,nan
hap,,nan
haplotarsa,haplotarsa,3
hapl,,nan
akha,,nan
a,ana,5
akh,,nan
akh,,nan
akhanii,akhanii,1
a,an,2
akhan,akhanii,6
a,ana,19
akhani,,nan
a,ata,8
calcitr,,nan
calcitrans,calcitrans,1
calci,,nan
c,chinensis,2
calcitra,,nan
ca,,nan
calcitran,calcitrans,1
calc,calco,3
calcit,,nan
cal,cala,1
she,,nan
s,si,3
she,,nan
s,spinosa,3
she,,nan
she,,nan
sheba,sheba,1
s,si,2
sh,shawi,12
sh,shanensis,10
alp,alpina,4
alpinu,alpinus,1
alp,,nan
alpinus,alpinus,1
alpin,alpina,2
alpinus,alpinus,1
a,ata,6
alpinus,alpinus,1
alp,,nan
alpinus,alpinus,1
vassununga,vassununga,1
vass,,nan
vassunung,vassununga,1
vassunu,vassununga,1
vassu,,nan
vassunun,vassununga,12
vas,,nan
v,vis,3
va,,nan
vassun,,nan
p,patens,1
po,poya,3
pougnet,pougneti,1
pou,,nan
pougneti,pougneti,1
pougne,,nan
pougne,,nan
poug,,nan
p,pilosus,5
pougneti,pougneti,1
pe,,nan
p,punctatum,1
pen,,nan
pen,pena,11
pentodon,pentodon,1
pentodo,,nan
pentod,,nan
pentodon,pentodon,1
pentod,,nan
pe,,nan
flavocin,flavocincta,1
flavo,flavovittatus,5
flavoci,,nan
flavoc,flavocephala,3
flavocinct,flavocincta,1
flav,flava,6
fl,,nan
f,frenatus,10
fla,flava,3
flavocincta,flavocincta,1
gibber,,nan
gibb,gibbosa,1
g,guttulata,14
gibbe,,nan
gibber,gibber,12
gi,,nan
gibber,,nan
gibber,,nan
g,goblin,16
gi,gia,11
se,seri,4
seneg,,nan
senegalensis,senegalensis,1
senegalensi,senegalensis,1
sene,,nan
sen,,nan
senegalens,senegalensis,1
s,si,7
senegal,senegalensis,3
senegale,senegalensis,1
katy,,nan
katy,,nan
ka,kai,6
kat,kati,3
kat,kati,4
k,koi,13
katy,,nan
katya,katyae,2
ka,kai,19
kat,kati,11
f,fasciae,13
flora,flora,1
flor,,nan
flora,flora,1
flo,floris,1
fl,,nan
flor,,nan
fl,,nan
flora,flora,1
flora,flora,1
p,patei,1
pelz,,nan
pelze,,nan
pel,,nan
pelzel,,nan
pel,,nan
pe,peri,2
pelzel,,nan
pelzelni,pelzelni,1
pelzel,,nan
pon,,nan
ponan,,nan
pon,,nan
pona,,nan
po,poi,3
ponanga,ponanga,1
ponang,ponanga,3
pona,,nan
ponan,,nan
ponan,,nan
hippore,,nan
hi,,nan
hipp,,nan
hip,,nan
hipporeg,,nan
hippo,,nan
h,helena,8
hipporegia,hipporegia,3
hippor,,nan
hipporegi,hipporegia,18
j,,nan
jimredneri,jimredneri,1
jimr,,nan
jim,jima,2
jimredner,jimredneri,1
jimredn,,nan
jimre,,nan
jimred,,nan
ji,jianensis,19
jimredne,,nan
sh,shuri,3
shan,shanensis,4
shan,shanensis,3
shangr,,nan
shangri,,nan
sha,shanensis,2
s,shanensis,1
sha,shanensis,1
shangrila,shangrila,2
s,si,1
nelli,nelli,1
ne,,nan
nel,,nan
ne,,nan
nell,nelli,3
ne,,nan
n,neta,10
nell,nelli,20
ne,,nan
ne,,nan
v,villa,1
vega,vega,1
v,verae,1
ve,vera,4
veg,,nan
veg,vega,12
vegas,vegas,1
veg,,nan
vega,vega,1
vegas,vegas,1
pugi,pugilis,18
pugilis,pugilis,1
pug,,nan
pugilis,pugilis,1
pug,,nan
pu,pula,1
pugi,pugilis,13
p,phanus,4
pugilis,pugilis,1
pu,pula,1
ku,kui,9
kugitangi,kugitangica,1
k,koi,3
kug,,nan
kugitangic,kugitangica,8
kugitangica,kugitangica,1
kugitan,,nan
kugit,,nan
kugita,,nan
kugitang,,nan
se,seri,5
semili,,nan
semilimba,,nan
sem,,nan
semil,,nan
semilimbat,semilimbatus,10
semi,,nan
semilimb,,nan
semilim,,nan
s,shanensis,1
mura,mura,1
mur,,nan
muralico,muralicola,1
muralicol,muralicola,1
muralic,,nan
m,maculatus,13
murali,muralis,1
mu,,nan
mural,,nan
muralicola,muralicola,1
sche,,nan
schen,,nan
schen,,nan
schenke,,nan
schenke,,nan
schenke,,nan
schen,,nan
sche,,nan
schenkel,schenkeli,4
s,shanensis,1
pseudovagans,pseudovagans,1
pseud,,nan
pseudova,,nan
pseudovag,,nan
pseudov,,nan
pseudovaga,,nan
pseudovagan,pseudovagans,10
pseu,,nan
pse,,nan
ps,,nan
a,alai,12
aos,,nan
ao,,nan
aosen,,nan
a,ata,2
aos,,nan
aosen,,nan
aos,,nan
aos,,nan
aosen,,nan
tigr,,nan
tig,,nan
tigr,tigre,9
tig,,nan
tigre,tigre,1
tig,,nan
ti,tibialis,9
ti,tina,7
tig,,nan
tigre,tigre,1
mene,,nan
menemer,,nan
menemere,,nan
meneme,,nan
men,,nan
menemerella,menemerella,2
menemerel,menemerella,1
menemerell,menemerella,3
me,merina,2
menem,,nan
athl,,nan
athleticu,athleticus,1
ath,,nan
athletic,athleticus,7
at,ata,2
a,armata,2
athle,,nan
athleticus,athleticus,1
athlet,athleta,17
athleti,,nan
apot,,nan
apotheti,,nan
a,alba,3
apoth,,nan
apothetic,apothetica,1
apothetica,apothetica,1
apothet,,nan
apothe,,nan
ap,api,3
apo,apo,1
niphoco,,nan
niphocosm,niphocosmum,4
niphocosmum,niphocosmum,1
niphoc,,nan
niphocos,,nan
nipho,,nan
niphocosmu,niphocosmum,1
n,nica,17
nip,,nan
ni,,nan
zabalet,,nan
zabalet,,nan
z,,nan
zaba,zaba,3
zabaleta,zabaleta,19
zabalet,,nan
zabale,,nan
zabal,,nan
zabaleta,,nan
zabalet,,nan
bra,,nan
br,,nan
branta,branta,4
br,broni,12
br,,nan
b,barba,15
bra,,nan
bra,,nan
branta,branta,1
bra,,nan
fu,,nan
furcu,,nan
furculo,furculosus,3
f,fur,9
furculos,furculosus,1
furculosu,furculosus,1
furc,furca,1
furcul,furcula,1
furculosus,furculosus,1
fur,fur,1
yas,yasi,6
yasu,,nan
yas,,nan
yasudai,yasudai,1
yas,,nan
yas,yasi,14
yasud,yasudai,1
yasu,yasua,20
ya,,nan
yasudai,yasudai,1
t,,nan
tinalandi,,nan
tinal,,nan
tinala,,nan
tinaland,,nan
tinalandia,tinalandia,1
tina,tina,1
ti,tina,2
tinalan,tinalandia,17
tin,tinus,1
plan,plana,5
pla,,nan
planu,planus,1
plan,plana,3
planu,planus,1
pla,,nan
pl,plena,8
planus,planus,1
planus,planus,1
plan,plana,1
fl,,nan
flavifr,,nan
flavi,flavipes,3
flav,flavus,1
flavifron,flavifrons,1
fla,flava,4
flavifrons,flavifrons,1
flavif,,nan
f,fera,3
flavifro,flavifrons,1
r,rua,15
rio,rio,1
ri,,nan
rio,rio,1
ri,,nan
rio,rio,19
ri,rica,7
ri,,nan
rio,rio,2
ri,rima,3
robertoi,robertoi,1
rober,robert,4
robe,,nan
roberto,,nan
robe,,nan
r,rapida,2
robertoi,robertoi,1
ro,,nan
ro,,nan
robert,roberti,1
la,la,1
laura,laura,1
laura,laura,1
laura,laurae,1
lau,,nan
laura,laurae,1
l,longa,10
l,longa,7
laur,,nan
laur,,nan
fur,fur,1
fu,,nan
furcatella,furcatella,1
furca,furca,1
furcate,furcatella,17
furcatel,furcatella,1
f,fera,6
furcatell,furcatella,2
furc,furcatus,1
furcat,furcatus,1
rem,,nan
reme,,nan
remed,,nan
remed,,nan
remediu,remedius,1
remedi,,nan
remedius,remedius,1
re,,nan
re,,nan
remedi,,nan
m,manni,3
mit,mita,1
mitific,mitificus,1
mitific,mitificus,1
mitifi,mitificus,1
mitifica,mitifica,1
mi,mi,5
mit,mita,1
mitif,,nan
mitifi,mitificus,1
a,ana,6
armatissimu,armatissimus,2
armatiss,armatissimus,3
ar,,nan
armatissimus,armatissimus,1
arma,,nan
armatis,armatissimus,8
armati,,nan
armat,armata,6
armatissim,armatissimus,2
uzag,uzaga,14
uzaga,uzaga,1
uza,,nan
uza,,nan
uzaga,uzaga,1
uza,,nan
uzaga,uzaga,1
uzaga,uzaga,1
uz,,nan
u,ura,5
bi,bin,2
bic,,nan
b,bat,6
bicurvata,bicurvata,1
bicurvata,bicurvata,1
bicur,,nan
bicu,,nan
bicur,,nan
bicu,,nan
bicur,,nan
signiventr,signiventris,1
signiv,,nan
sig,signata,12
signivent,signiventris,3
signi,,nan
s,si,6
signiventris,signiventris,1
sign,signata,3
si,si,1
signiven,signiventris,1
demerara,,nan
demer,,nan
demerarae,demerarae,1
deme,,nan
demerara,demerarae,2
dem,,nan
demer,,nan
demerara,demerarae,5
demerar,demerarae,16
d,dentatus,4
shuquiang,,nan
s,si,7
shuquian,,nan
shu,,nan
shuqui,,nan
shuquiangli,,nan
shuquia,,nan
shuqu,,nan
shuquiangl,,nan
sh,,nan
warden,wardeni,2
warden,wardeni,1
w,,nan
wardeni,wardeni,1
wardeni,wardeni,1
wardeni,wardeni,1
w,wan,2
war,,nan
warden,wardeni,12
wardeni,wardeni,1
i,ida,19
isla,,nan
islamita,,nan
islami,,nan
is,,nan
islami,,nan
isla,isla,5
isl,isla,12
islam,,nan
islam,,nan
puc,,nan
pucu,,nan
p,poi,3
pucuna,pucuna,1
pucuna,pucuna,1
p,palmar,2
pucun,,nan
puc,,nan
puc,,nan
pu,pula,1
misch,mischi,1
mis,,nan
mi,mi,1
m,mae,1
misch,mischi,1
misch,mischi,2
mis,,nan
mis,,nan
misc,,nan
m,magnus,6
semicastaneus,semicastaneus,1
semicastane,,nan
semic,semicana,16
sem,,nan
semicas,,nan
semicastaneu,semicastaneus,1
s,shanensis,3
semica,,nan
semi,,nan
semicastan,,nan
ar,,nan
ara,,nan
ara,,nan
arawak,arawak,3
ar,,nan
arawakan,arawakan,2
araw,arawa,2
arawa,arawa,1
arawak,arawak,2
a,an,9
heizerensi,heizerensis,1
h,,nan
heizerensis,heizerensis,1
he,,nan
heiz,,nan
hei,,nan
heizere,heizerensis,6
heize,,nan
heizerens,heizerensis,2
heizer,,nan
orph,,nan
orpheu,orpheus,1
orp,,nan
orphe,,nan
or,,nan
o,osa,6
orp,,nan
orph,,nan
orph,,nan
orp,,nan
hamaens,hamaensis,1
hamaen,hamaensis,1
hama,hama,7
hamaen,hamaensis,1
ham,,nan
hamaens,hamaensis,1
hamaen,hamaensis,1
ham,,nan
h,huashanensis,1
hamae,,nan
pi,pie,6
pi,,nan
pictipe,pictipes,1
pictipes,pictipes,1
picti,pictiventris,1
pictipe,pictipes,1
pictipes,pictipes,1
pict,picta,1
pictip,pictipes,1
p,pedata,2
torsivoide,torsivoides,1
t,tuberculatus,3
torsivoid,torsivoides,1
torsi,,nan
torsivo,torsivoides,8
tor,,nan
torsivoi,torsivoides,1
tors,,nan
torsivoides,torsivoides,1
torsiv,torsiva,3
nicolas,,nan
nicolas,,nan
n,napo,2
nicol,,nan
nic,nica,15
nic,,nan
nicola,,nan
nico,,nan
nicolasi,,nan
nico,,nan
auctif,auctificus,3
auctificus,auctificus,1
au,,nan
a,an,8
auctifi,auctificus,2
auctificu,auctificus,1
aucti,,nan
auc,,nan
auct,,nan
auctific,auctificus,2
m,mae,2
melliss,mellissi,1
mellissi,,nan
mellissi,,nan
mellissi,mellissi,10
mellis,,nan
me,merina,10
mell,,nan
melli,,nan
mellis,,nan
garrafensis,garrafensis,1
garra,,nan
garrafen,garrafensis,1
ga,,nan
garr,,nan
g,guttatus,10
garraf,garrafensis,19
garrafe,,nan
gar,,nan
garrafensi,garrafensis,1
okor,,nan
okoros,,nan
okorosav,okorosave,5
oko,,nan
okorosav,okorosave,4
okorosav,okorosave,2
okorosa,,nan
okorosa,,nan
okoro,,nan
ok,,nan
anom,,nan
anomid,,nan
an,ana,10
anomi,,nan
anom,,nan
an,ana,7
anom,,nan
ano,,nan
anomid,anomid,4
ano,,nan
c,chinensis,3
cress,cressa,5
cressa,cressa,2
cr,crica,1
cres,,nan
c,chalcea,4
cress,cressa,1
cress,cressa,1
cress,cressa,6
cr,crica,4
sin,sinensis,11
s,si,1
si,si,1
sino,,nan
si,si,1
sino,,nan
sino,,nan
sinop,sinop,10
si,si,1
sin,,nan
trico,,nan
tricol,,nan
t,tuberculatus,3
tricoloripes,tricoloripes,1
tricoloripe,tricoloripes,1
tricolorip,tricoloripes,1
tr,,nan
tricolori,,nan
tricolor,tricolor,1
tri,,nan
rufi,rufi,1
ru,,nan
r,rostrata,16
rufisque,rufisquei,6
ru,,nan
rufi,rufi,15
ruf,rufi,1
ru,rua,18
rufisque,rufisquei,4
ruf,rufa,1
scapulat,scapulatus,2
scapula,scapula,1
scapul,scapula,5
sc,,nan
scapulatus,scapulatus,1
scap,,nan
sca,,nan
s,spinosa,1
scapu,,nan
scapulatu,scapulatus,1
matura,,nan
m,mae,5
maturata,maturata,1
ma,,nan
ma,,nan
matur,,nan
matur,,nan
matur,,nan
matur,,nan
matu,,nan
cor,,nan
cornifr,cornifrons,1
corn,cornis,5
cornifrons,cornifrons,1
cornifron,cornifrons,1
cornif,,nan
co,,nan
c,cha,4
corni,cornis,1
cornifro,cornifrons,1
mon,,nan
monacan,,nan
monacanthu,monacanthum,1
monacanth,,nan
monac,,nan
mo,mona,11
mona,mona,1
monacanthum,monacanthum,1
monacant,monacanthum,3
m,mae,3
c,chinensis,4
cyanog,,nan
cyanognathus,cyanognathus,1
cyanognat,cyanognatha,1
cyan,,nan
cy,cyaneus,2
cyanognath,cyanognathus,1
cyano,,nan
cyanogna,cyanognathus,1
cyanogn,cyanognatha,1
min,minae,8
minus,,nan
m,maculatus,5
mi,miri,1
minusculu,minusculus,1
minuscu,minuscula,7
minuscul,minuscula,1
minusculus,minusculus,1
minusc,minusculus,13
minu,,nan
ariadnae,ariadnae,1
ariadn,ariadnae,4
aria,,nan
ar,,nan
ariadna,ariadnae,1
ariadnae,ariadnae,1
ariad,,nan
ariadn,ariadnae,2
ari,,nan
a,ancha,2
qua,,nan
quadrivulv,,nan
quadr,,nan
quadrivulvat,quadrivulvata,5
quadrivulva,,nan
qu,,nan
quadrivu,,nan
quad,,nan
quadrivulvata,quadrivulvata,3
quadrivul,quadrivulvata,7
vi,vis,17
vis,vis,1
v,vittata,2
vi,vis,4
vi,vis,11
vi,vis,7
visit,,nan
visite,,nan
visi,,nan
v,villa,9
d,dongi,7
dag,,nan
dagostin,,nan
dagosti,,nan
da,datus,14
dago,,nan
dagostinae,dagostinae,1
dagost,,nan
dagostina,,nan
dagos,,nan
cultri,,nan
cultridens,,nan
cultride,cultridens,2
cultr,,nan
cul,,nan
c,cha,8
cult,culta,2
cultrid,cultridens,7
cu,,nan
cultriden,cultridens,9
zeb,,nan
zebrin,zebrina,1
zebrina,zebrina,1
z,,nan
zebrina,zebrina,1
zebrina,zebrina,1
zebrina,zebrina,1
zebrin,zebrina,1
zeb,,nan
zebrina,zebrina,1
fai,,nan
faisalabadens,faisalabadensis,1
f,fuscum,1
faisalabadensi,faisalabadensis,1
faisal,,nan
faisalabade,faisalabadensis,1
faisalabad,faisalabadensis,1
faisalabaden,faisalabadensis,1
faisa,,nan
fa,,nan
curv,curva,1
curvilinea,curvilineatus,1
curvil,,nan
curvili,,nan
curvilineatu,curvilineatus,1
curvilineatus,curvilineatus,1
curviline,curvilineatus,18
cur,curvatus,18
curvi,curvipes,4
cu,,nan
phaeo,,nan
phae,,nan
phaeoch,phaeochroa,17
ph,,nan
p,pie,3
phaeoc,phaeocephalus,6
phaeochor,,nan
phaeocho,,nan
pha,,nan
phaeochorda,phaeochorda,1
crassi,,nan
crassibulb,crassibulba,2
c,cas,18
crassibul,crassibulba,1
crassibu,,nan
cra,,nan
cras,crassa,17
crassib,,nan
crass,crassa,9
crassibulba,crassibulba,1
longicymbiali,longicymbialis,1
longi,,nan
l,longa,3
longic,,nan
longicymbia,longicymbia,1
longicymbial,longicymbialis,1
lon,longensis,6
lo,,nan
longicym,,nan
long,longa,2
orin,orina,1
o,osa,9
orine,,nan
ori,orion,5
orin,orinus,1
orin,orinus,2
o,oba,12
o,,nan
orine,,nan
orines,orines,1
nig,niger,2
nigricu,nigricus,1
nigricula,nigricula,1
nigr,nigra,2
ni,,nan
nigric,nigricula,1
nigric,nigricus,2
nigricula,nigricula,1
nigr,nigra,2
nigricul,nigricula,1
cor,,nan
co,cocha,11
corticeus,corticeus,1
cortic,,nan
corticeu,corticeus,1
corticeus,corticeus,1
c,cha,17
c,chinensis,5
corti,,nan
corticeus,corticeus,1
dod,,nan
dod,,nan
do,dota,13
dod,,nan
dodo,,nan
do,,nan
do,,nan
d,,nan
d,dentatus,5
dodo,,nan
sidel,sidella,1
sidella,sidella,1
sid,,nan
s,shanensis,5
sidel,sidella,7
sidella,sidella,2
sidell,sidella,6
side,,nan
sidell,sidella,7
s,shanensis,1
l,liae,11
lasal,,nan
lasalana,lasalana,1
la,la,1
l,lineata,6
la,la,1
las,,nan
lasalan,lasalana,1
las,,nan
lasalana,lasalana,1
flab,,nan
flabellatu,flabellatus,1
fl,,nan
f,fera,2
flabellatus,flabellatus,1
flabell,flabelli,1
flabellat,flabellata,1
flabella,flabella,1
flabel,,nan
fla,flavus,6
anjozor,,nan
anjozoro,,nan
anjoz,,nan
anjozorobe,anjozorobe,1
anjo,anjo,2
a,an,9
anjozorob,anjozorobe,1
anj,,nan
an,ana,7
anjozo,,nan
evan,,nan
evans,evansi,2
ev,,nan
evansi,evansi,1
ev,evae,1
evan,,nan
eva,evae,1
ev,evae,8
e,,nan
evan,,nan
dean,,nan
de,,nan
de,,nan
deang,,nan
deang,,nan
d,dong,4
dean,,nan
deangia,deangia,3
dea,dea,1
dea,dea,1
seve,severa,3
sevegn,,nan
sevegnaniae,sevegnaniae,1
se,seri,3
sevegna,,nan
s,shanensis,2
sevegnan,,nan
sev,,nan
sevegnania,sevegnaniae,1
seveg,,nan
rubripl,,nan
rubriple,,nan
r,randa,6
rubrip,rubripes,1
ru,,nan
rub,rubus,14
rubri,,nan
rubripleur,rubripleura,1
rubr,rubrum,4
rubripleura,rubripleura,1
watari,watari,1
w,wa,3
wa,wa,1
wat,,nan
watari,watari,1
watarii,watarii,1
watar,watari,1
watarii,watarii,1
watarii,watarii,1
watarii,watarii,1
p,punctata,1
pseudoferrugine,pseudoferruginea,2
pseu,,nan
pse,,nan
pseudofe,,nan
pseudoferrugin,pseudoferruginea,12
pseudoferrugi,pseudoferruginea,2
pseudoferrug,,nan
pseudo,,nan
pseudof,,nan
vainuia,vainuia,1
va,,nan
vainuia,vainuia,1
vainui,,nan
vainu,,nan
v,vittigera,8
vainuia,vainuia,4
va,,nan
va,,nan
vainuia,vainuia,1
alpi,,nan
alpig,,nan
al,ala,1
alpigen,alpigena,7
alpigenoi,alpigenoides,1
alpige,,nan
alpigeno,alpigenoides,1
a,anta,4
alp,,nan
alpigenoides,alpigenoides,1
rastru,,nan
r,rica,15
rast,,nan
ras,ras,3
rastrum,rastrum,1
rastrum,rastrum,1
rast,,nan
r,rostrata,12
ra,rana,5
rast,,nan
paucisp,paucispina,1
pauc,,nan
pauci,,nan
p,punctata,1
paucispina,paucispina,1
pau,pau,1
pa,,nan
paucispi,paucispina,6
paucis,,nan
paucispin,paucispina,1
hip,,nan
hip,,nan
hip,,nan
hippi,,nan
hippie,,nan
hippi,,nan
hipp,,nan
h,,nan
h,hamaensis,9
hippie,hippie,12
b,bergensis,4
bal,bali,2
baline,balinensis,3
b,bondi,2
balin,,nan
bali,bali,4
ba,bai,1
bali,bali,2
b,bergi,6
baline,balinensis,17
l,lineatus,2
laniu,lanius,1
lani,lanius,11
laniu,lanius,1
laniu,lanius,1
la,la,1
laniu,lanius,1
laniu,lanius,1
la,la,3
lan,langensis,2
lyug,,nan
lyugadinu,lyugadinus,1
l,loris,1
lyugadin,lyugadinus,14
lyuga,,nan
ly,,nan
lyugad,,nan
lyugadinus,lyugadinus,1
lyu,,nan
lyugadi,,nan
tenebrosus,tenebrosus,1
tenebro,tenebrosa,1
ten,tena,11
te,tensus,19
tenebr,tenebrosus,2
tene,tenellus,15
teneb,tenebrosus,18
t,,nan
tenebrosu,tenebrosus,1
tenebros,tenebrosus,1
guangxicu,guangxicus,1
guangxic,guangxicus,1
gu,gus,7
g,goaensis,8
gua,,nan
guangx,guangxi,1
guangxi,guangxi,2
guangxicus,guangxicus,1
guan,guan,6
guang,guanga,9
s,signata,3
sa,sana,1
sara,sarae,10
sarahcrewsae,sarahcrewsae,1
sarahc,,nan
sarahcrew,sarahcrewsae,4
sarahcr,,nan
sarahcrews,sarahcrewsae,4
sarahcre,,nan
sar,,nan
cuneatu,cuneatus,1
cun,,nan
cun,,nan
cu,,nan
cunea,,nan
c,cheni,4
cunea,,nan
cune,,nan
cune,,nan
cuneatus,cuneatus,1
coottha,coottha,1
coott,,nan
coo,,nan
co,cona,16
c,chico,2
cootth,coottha,4
cootth,coottha,6
coo,cooma,10
coott,,nan
cootth,coottha,2
blanc,blanci,1
bl,,nan
bl,,nan
blanc,blanci,2
bla,,nan
bla,,nan
bla,blasi,5
blanco,blanco,14
b,bergi,6
b,bergi,6
valqu,,nan
va,,nan
valquiri,,nan
valq,,nan
valquir,,nan
valqu,,nan
val,vali,3
